,parentesco1,hhsize,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,area2,SQBescolari,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,Target,JM_Sum_of_Tablets,Total Sum Years of Schooling,JM_People_Educ_LT5,JM_People_Educ_LT10,JM_People_Educ_LT15,JM_People_Educ_LT20,JM_People_Educ_LT25,JM_1YrBehindSchool,JM_2YrBehindSchool,JM_3YrBehindSchool,JM_4YrBehindSchool,JM_5YrBehindSchool,JM_Sum_of_Disabled,JM_Sum_Of_Males,JM_Sum_Of_Females,JM_estadocivil1,JM_estadocivil2,JM_estadocivil3,JM_estadocivil4,JM_estadocivil5,JM_estadocivil6,JM_estadocivil7,JM_parentesco1,JM_parentesco2,JM_parentesco3,JM_parentesco4,JM_parentesco5,JM_parentesco6,JM_parentesco7,JM_parentesco8,JM_parentesco9,JM_parentesco10,JM_parentesco11,JM_parentesco12,JM_instlevel1,JM_instlevel2,JM_instlevel3,JM_instlevel4,JM_instlevel5,JM_instlevel6,JM_instlevel7,JM_instlevel8,JM_instlevel9,JM_mobilephone,Target_new
0,1,1,190000.0,0,3,0,1,1,0.0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,10,0,10.0,1,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,100,1,100,0,1.0,0.0,100.0,4,0,10,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,1,1,135000.0,0,4,0,1,1,0.0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,8,12,0,12.0,1,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,144,1,144,0,1.0,64.0,144.0,4,1,12,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2,1,1,0.0,0,8,0,1,1,0.0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,8,0,11,11.0,2,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,121,1,0,0,0.25,64.0,121.0,4,0,11,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,1,4,180000.0,0,5,0,1,1,1.0,0,2,2,1,1,2,1,3,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,4,1,11,0,11.0,3,1.3333334,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,121,16,121,4,1.7777778999999998,1.0,121.0,4,4,33,1,2,4,4,4,1,0,0,0,0,0,2,2,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4,1
4,1,4,130000.0,1,2,0,1,1,0.0,0,1,1,2,1,3,2,2,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,4,1,9,0,10.0,1,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,81,16,81,4,16.0,1.0,100.0,4,0,23,2,3,4,4,4,1,0,0,0,0,0,1,3,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,1
5,1,2,100000.0,0,3,0,1,1,0.0,0,0,0,0,2,2,0,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2,1,0,11,23.0,2,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,121,4,0,1,1.0,1.0,529.0,4,0,23,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1
6,1,2,0.0,0,4,0,1,1,0.0,0,1,1,0,1,1,0,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,1,0,4,9.5,2,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,16,4,0,0,1.0,1.0,90.25,4,2,19,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
7,1,4,90000.0,1,2,0,1,1,0.0,0,2,2,0,2,2,0,4,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,1,4,3,0,10,17.0,1,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,100,16,0,4,16.0,9.0,289.0,4,0,34,1,1,4,4,4,0,0,0,0,0,0,2,2,0,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,4,1
8,1,2,215000.0,0,4,0,1,1,0.0,0,1,1,0,1,1,0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,2,0,15,0,13.5,2,1.0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,225,4,225,0,1.0,0.0,182.25,4,0,27,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1
9,1,2,150000.0,0,3,0,1,1,0.0,0,1,1,0,1,1,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,2,8,4,0,10.0,1,2.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,16,4,16,0,4.0,64.0,100.0,4,0,20,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
