,idhogar,parentesco1,Id,hhsize,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,area2,SQBescolari,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,JM_Sum_of_Tablets,Total Sum Years of Schooling,JM_People_Educ_LT5,JM_People_Educ_LT10,JM_People_Educ_LT15,JM_People_Educ_LT20,JM_People_Educ_LT25,JM_1YrBehindSchool,JM_2YrBehindSchool,JM_3YrBehindSchool,JM_4YrBehindSchool,JM_5YrBehindSchool,JM_Sum_of_Disabled,JM_Sum_Of_Males,JM_Sum_Of_Females,JM_estadocivil1,JM_estadocivil2,JM_estadocivil3,JM_estadocivil4,JM_estadocivil5,JM_estadocivil6,JM_estadocivil7,JM_parentesco1,JM_parentesco2,JM_parentesco3,JM_parentesco4,JM_parentesco5,JM_parentesco6,JM_parentesco7,JM_parentesco8,JM_parentesco9,JM_parentesco10,JM_parentesco11,JM_parentesco12,JM_instlevel1,JM_instlevel2,JM_instlevel3,JM_instlevel4,JM_instlevel5,JM_instlevel6,JM_instlevel7,JM_instlevel8,JM_instlevel9,JM_mobilephone
0,21eb7fcc1,1,ID_279628684,1,190000.0,0,3,0,1,1,,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,no,10,no,10.0,1,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,100,1,100,0,1.0,0.0,100.0,0,10,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0e5d7a658,1,ID_f29eb3ddd,1,135000.0,0,4,0,1,1,1.0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,8,12,no,12.0,1,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,144,1,144,0,1.0,64.0,144.0,1,12,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,2c7317ea8,1,ID_68de51c94,1,,0,8,0,1,1,,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,8,no,11,11.0,2,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,121,1,0,0,0.25,64.0,121.0,0,11,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2b58d945f,1,ID_ec05b1a7b,4,180000.0,0,5,0,1,1,1.0,0,2,2,1,1,2,1,3,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,4,yes,11,no,11.0,3,1.3333334,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,121,16,121,4,1.7777778999999998,1.0,121.0,4,33,1,2,4,4,4,1,0,0,0,0,0,2,2,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4
4,d6dae86b7,1,ID_1284f8aad,4,130000.0,1,2,0,1,1,,0,1,1,2,1,3,2,2,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,4,yes,9,no,10.0,1,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,81,16,81,4,16.0,1.0,100.0,0,23,2,3,4,4,4,1,0,0,0,0,0,1,3,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4
5,bb2094100,1,ID_d94071d7c,2,100000.0,0,3,0,1,1,,0,0,0,0,2,2,0,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2,yes,no,11,23.0,2,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,121,4,0,1,1.0,1.0,529.0,0,23,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
6,c51f9c774,1,ID_064b57869,2,,0,4,0,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,yes,no,4,9.5,2,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,16,4,0,0,1.0,1.0,90.25,2,19,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
7,6893e65ca,1,ID_c51938edf,4,90000.0,1,2,0,1,1,,0,2,2,0,2,2,0,4,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,1,4,3,no,10,17.0,1,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,100,16,0,4,16.0,9.0,289.0,0,34,1,1,4,4,4,0,0,0,0,0,0,2,2,0,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,4
8,d29058053,1,ID_74a2bc523,2,215000.0,0,4,0,1,1,,0,1,1,0,1,1,0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,2,no,15,no,13.5,2,1.0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,225,4,225,0,1.0,0.0,182.25,0,27,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
9,ec0e8edce,1,ID_15d393ce7,2,150000.0,0,3,0,1,1,,0,1,1,0,1,1,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,2,8,4,no,10.0,1,2.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,16,4,16,0,4.0,64.0,100.0,0,20,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
